numero,nombre,edad,teamTo,teamFrom,leagueTo,leagueFrom,totalCost, year,
41,Fernando Cavenaghi,23,G. Bordeaux,Spartak Moscow,Ligue 1,Premier Liga,9.00.,2006,
42,Arouna Kone,22,PSV Eindhoven,Roda JC,Eredivisie,Eredivisie,9.00.,2006,
43,Wagner,21,Ittihad,Cruzeiro,Saudi Arabia,Serie A,9.00.,2006,
44,Javier Chevanton,25,Sevilla FC,Monaco,LaLiga,Ligue 1,8.90.,2006,
45,Robert Huth,21,Middlesbrough,Chelsea,Premier League,Premier League,8.90.,2006,
46,Matias Fernandez,20,Villarreal CF,Colo Colo,LaLiga,Chile,8.70.,2006,
47,Rafael Sobis,21,Real Betis,Internacional,LaLiga,Serie A,8.50.,2006,
48,Amauri,26,US Palermo,Chievo Verona,Serie A,Serie A,8.50.,2006,
49,Daniel Van Buyten,28,Bayern Munich,Hamburger SV,1.Bundesliga,1.Bundesliga,8.00.,2006,
50,Adrian Mutu,27,Fiorentina,Juventus,Serie A,Serie B,8.00.,2006,
51,Kim Kallstrom,23,Olympique Lyon,Stade Rennais,Ligue 1,Ligue 1,8.00.,2006,
52,Nilmar,21,Corinthians,Olympique Lyon,Serie A,Ligue 1,8.00.,2006,
53,Massimo Oddo,30,AC Milan,Lazio,Serie A,Serie A,7.75.,2006,
54,Ronaldo,30,AC Milan,Real Madrid,Serie A,LaLiga,7.50.,2006,
55,Asier del Horno,25,Valencia CF,Chelsea,LaLiga,Premier League,7.50.,2006,
56,Fatih Tekke,28,Zenit S-Pb,Trabzonspor,Premier Liga,Super Lig,7.50.,2006,
57,Emile Heskey,28,Wigan,Birmingham,Premier League,Championship,7.50.,2006,
58,Diego Lugano,25,Fenerbahce,Sao Paulo,Super Lig,Serie A,7.50.,2006,
59,Ederson,20,OGC Nice,Juventude,Ligue 1,Serie A,7.50.,2006,
60,Ashley Cole,25,Chelsea,Arsenal,Premier League,Premier League,7.40.,2006,
61,Fabio Cannavaro,32,Real Madrid,Juventus,LaLiga,Serie B,7.00.,2006,
62,Mateja Kezman,27,Fenerbahce,Atletico Madrid,Super Lig,LaLiga,7.00.,2006,
63,Alejandro Dominguez,25,Zenit S-Pb,Rubin Kazan,Premier Liga,Premier Liga,7.00.,2006,
64,Jeremy Toulalan,22,Olympique Lyon,FC Nantes,Ligue 1,Ligue 1,7.00.,2006,
65,Maicon,24,Inter,Monaco,Serie A,Ligue 1,6.80.,2006,
66,Luis Boa Morte,29,West Ham,Fulham,Premier League,Premier League,6.80.,2006,
67,Mido,23,Spurs,AS Roma,Premier League,Serie A,6.75.,2006,
68,Joleon Lescott,23,Everton,Wolves,Premier League,Championship,6.50.,2006,
69,Marcelo,18,Real Madrid,Fluminense,LaLiga,Serie A,6.50.,2006,
70,empty,22,Bay. Leverkusen,1.FC Nuremberg,1.Bundesliga,1.Bundesliga,6.50.,2006,
71,David Odonkor,22,Real Betis,Bor. Dortmund,LaLiga,1.Bundesliga,6.50.,2006,
72,Stephen Makinwa,22,Lazio,US Palermo,Serie A,Serie A,6.30.,2006,
73,Alou Diarra,25,Olympique Lyon,Lens,Ligue 1,Ligue 1,6.25.,2006,
74,Costinha,31,Atletico Madrid,Dinamo Moscow,LaLiga,Premier Liga,6.00.,2006,
75,Mark van Bommel,29,Bayern Munich,FC Barcelona,1.Bundesliga,LaLiga,6.00.,2006,
76,Nikola Zigic,25,Racing,Red Star,LaLiga,SuperLiga,6.00.,2006,
77,Georgios Seitaridis,25,Atletico Madrid,Dinamo Moscow,LaLiga,Premier Liga,6.00.,2006,
78,Diego,21,Werder Bremen,FC Porto,1.Bundesliga,Liga NOS,6.00.,2006,
79,Joris Mathijsen,26,Hamburger SV,AZ Alkmaar,1.Bundesliga,Eredivisie,6.00.,2006,
80,Ilan,25,Saint-Etienne,FC Sochaux,Ligue 1,Ligue 1,6.00.,2006,
81,Fernando Navarro,24,RCD Mallorca,FC Barcelona,LaLiga,LaLiga,6.00.,2006,
82,Gary McSheffrey,23,Birmingham,Coventry City,Championship,Championship,6.00.,2006,
83,Sidi Keita,21,Lens,R. Strasbourg,Ligue 1,Ligue 2,6.00.,2006,
84,Javi Martinez,17,Athletic Bilbao,CA Osasuna B,LaLiga,empty,6.00.,2006,
85,Sebastien Frey,26,Fiorentina,Parma,Serie A,Serie A,5.75.,2006,
86,Edu Dracena,25,Fenerbahce,Cruzeiro,Super Lig,Serie A,5.70.,2006,
87,Ramon,18,CSKA Moscow,Corinthians,Premier Liga,Serie A,5.65.,2006,
88,Yaya Toure,23,Monaco,Olympiacos,Ligue 1,Super League,5.50.,2006,
89,Fabio Grosso,28,Inter,US Palermo,Serie A,Serie A,5.50.,2006,
90,Daniel Moreira,28,Stade Rennais,Toulouse,Ligue 1,Ligue 1,5.50.,2006,
91,Mario Santana,24,Fiorentina,US Palermo,Serie A,Serie A,5.50.,2006,
92,Fabio Simplicio,26,US Palermo,Parma,Serie A,Serie A,5.50.,2006,
93,Matias Delgado,23,Besiktas,FC Basel,Super Lig,Super League,5.50.,2006,
94,Souleymane Diawara,27,Charlton,FC Sochaux,Premier League,Ligue 1,5.40.,2006,
95,Cristian Ledesma,23,Lazio,Lecce,Serie A,Serie B,5.30.,2006,
96,Emiliano Bonazzoli,27,Sampdoria,Parma,Serie A,Serie A,5.25.,2006,
97,Fernando Morientes,30,Valencia CF,Liverpool,LaLiga,Premier League,5.00.,2006,
98,Aleksandr Kerzhakov,24,Sevilla FC,Zenit S-Pb,LaLiga,Premier Liga,5.00.,2006,
99,Diego Milito,27,Real Zaragoza,Genoa,LaLiga,Serie B,5.00.,2006,
100,Benoit Pedretti,25,AJ Auxerre,Olympique Lyon,Ligue 1,Ligue 1,5.00.,2006,
101,Lilian Thuram,34,FC Barcelona,Juventus,LaLiga,Serie B,5.00.,2006,
102,Celsinho,17,Loko Moscow,Portuguesa,Premier Liga,Brazil,5.00.,2006,
103,Pierre-Alain Frau,26,Paris SG,Olympique Lyon,Ligue 1,Ligue 1,5.00.,2006,
104,Ricardo Rocha,28,Spurs,Benfica,Premier League,Liga NOS,5.00.,2006,
105,Johan Elmander,25,Toulouse,Brondby IF,Ligue 1,Superligaen,5.00.,2006,
106,Benoit Assou-Ekotto,22,Spurs,Lens,Premier League,Ligue 1,5.00.,2006,
107,Pavel Pogrebnyak,23,Zenit S-Pb,Tom Tomsk,Premier Liga,Premier Liga,5.00.,2006,
108,Mousa Dembele,18,AZ Alkmaar,Willem II,Eredivisie,Eredivisie,5.00.,2006,
109,Zdravko Kuzmanovic,19,Fiorentina,FC Basel,Serie A,Super League,5.00.,2006,
110,Denilson,18,Arsenal,Sao Paulo,Premier League,Serie A,5.00.,2006,
111,Edinson Cavani,19,US Palermo,Danubio FC,Serie A,Uruguay,5.00.,2006,
112,Jan Vennegoor of Hesselink,27,Celtic,PSV Eindhoven,Premiership,Eredivisie,4.90.,2006,
113,Per Mertesacker,21,Werder Bremen,Hannover 96,1.Bundesliga,1.Bundesliga,4.70.,2006,
114,Nelson Valdez,22,Bor. Dortmund,Werder Bremen,1.Bundesliga,1.Bundesliga,4.70.,2006,
115,Riki,25,Dep. La Coruna,Getafe CF,LaLiga,LaLiga,4.64.,2006,
116,Sebastien Squillaci,25,Olympique Lyon,Monaco,Ligue 1,Ligue 1,4.50.,2006,
117,Olivier Thomert,26,Stade Rennais,Lens,Ligue 1,Ligue 1,4.50.,2006,
118,Paulo Andre,22,Le Mans,Atletico-PR,Ligue 1,Serie A,4.50.,2006,
119,Niko Kranjcar,22,Portsmouth FC,Hajduk Split,Premier League,1.HNL,4.50.,2006,
120,Afonso Alves,25,Heerenveen,Malmo,Eredivisie,Allsvenskan,4.50.,2006,
121,Franck Queudrue,27,Fulham,Middlesbrough,Premier League,Premier League,4.50.,2006,
122,Johann Vogel,29,Real Betis,AC Milan,LaLiga,Serie A,4.50.,2006,
123,Federico Insua,26,Bor. M'gladbach,Boca Juniors,1.Bundesliga,Torneo Inicial,4.50.,2006,
124,Fitz Hall,25,Wigan,Crystal Palace,Premier League,Championship,4.50.,2006,
125,Deivid,26,Fenerbahce,Sporting CP,Super Lig,Liga NOS,4.50.,2006,
126,Yoann Gourcuff,19,AC Milan,Stade Rennais,Serie A,Ligue 1,4.50.,2006,
127,Greg Halford,22,Reading,Colchester Utd.,Premier League,Championship,4.50.,2006,
128,Dodo,32,Al-Ain FC,Botafogo,United Arab Emirates,Serie A,4.50.,2006,
129,Cameron Jerome,19,Birmingham,Cardiff,Championship,Championship,4.45.,2006,
130,Denny Landzaat,30,Wigan,AZ Alkmaar,Premier League,Eredivisie,4.40.,2006,
131,Andy Reid,23,Charlton,Spurs,Premier League,Premier League,4.20.,2006,
132,Calum Davenport,24,West Ham,Spurs,Premier League,Premier League,4.20.,2006,
133,Fabio Santos,26,Olympique Lyon,Cruzeiro,Ligue 1,Serie A,4.20.,2006,
134,Alex Frei,26,Bor. Dortmund,Stade Rennais,1.Bundesliga,Ligue 1,4.10.,2006,
135,Simone Barone,28,Torino,US Palermo,Serie A,Serie A,4.10.,2006,
136,Milan Bisevac,23,Lens,Red Star,Ligue 1,SuperLiga,4.10.,2006,
137,Jason Roberts,28,Blackburn,Wigan,Premier League,Premier League,4.08.,2006,
138,Salomon Kalou,20,Chelsea,Feyenoord,Premier League,Eredivisie,4.00.,2006,
139,Mista,27,Atletico Madrid,Valencia CF,LaLiga,LaLiga,4.00.,2006,
140,Jean-Alain Boumsong,26,Juventus,Newcastle,Serie B,Premier League,4.00.,2006,
141,Peguy Luyindula,27,Paris SG,Marseille,Ligue 1,Ligue 1,4.00.,2006,
142,Matt Moussilou,24,OGC Nice,LOSC Lille,Ligue 1,Ligue 1,4.00.,2006,
143,Mariano Pernia,29,Atletico Madrid,Getafe CF,LaLiga,LaLiga,4.00.,2006,
144,Andreas Hinkel,24,Sevilla FC,VfB Stuttgart,LaLiga,1.Bundesliga,4.00.,2006,
145,Frederic Thomas,25,AJ Auxerre,Le Mans,Ligue 1,Ligue 1,4.00.,2006,
146,Moubarak Boussoufa,21,RSC Anderlecht,KAA Gent,Jupiler Pro League,Jupiler Pro League,4.00.,2006,
147,Caner Erkin,18,CSKA Moscow,Manisaspor,Premier Liga,Super Lig,4.00.,2006,
148,Koen Daerden,24,Club Brugge,KRC Genk,Jupiler Pro League,Jupiler Pro League,4.00.,2006,
149,Matias Vuoso,24,America,Santos,Liga MX Clausura,Liga MX Clausura,4.00.,2006,
150,Nene,24,Celta de Vigo,Alaves,LaLiga,LaLiga2,4.00.,2006,
151,Salvador Cabanas,25,America,Chiapas FC,Liga MX Clausura,Liga MX Clausura,4.00.,2006,
152,Leandro Somoza,25,Villarreal CF,CA Velez,LaLiga,Torneo Inicial,4.00.,2006,
153,Alvaro Arbeloa,24,Liverpool,Dep. La Coruna,Premier League,LaLiga,3.90.,2006,
154,Boubacar Sanogo,23,Hamburger SV,1.FC K'lautern,1.Bundesliga,2.Bundesliga,3.80.,2006,
155,Francisco Fonseca,27,Tigres,Benfica,Liga MX Clausura,Liga NOS,3.80.,2006,
156,Massimo Gobbi,25,Fiorentina,Treviso,Serie A,Serie B,3.80.,2006,
157,Matthew Kilgallon,22,Sheffield Utd.,Leeds,Premier League,Championship,3.80.,2006,
158,Marco Ruben,20,River Plate,CA Rosario,Torneo Inicial,Torneo Inicial,3.80.,2006,
159,Madjid Bougherra,24,Charlton,Sheff Wed,Premier League,Championship,3.79.,2006,
160,Jimmy Bullard,27,Fulham,Wigan,Premier League,Premier League,3.75.,2006,
161,Ricardinho,30,Besiktas,Corinthians,Super Lig,Serie A,3.75.,2006,
162,Shefki Kuqi,29,Crystal Palace,Blackburn,Championship,Premier League,3.75.,2006,
163,Benni McCarthy,28,Blackburn,FC Porto,Premier League,Liga NOS,3.70.,2006,
164,Rodolfo,24,Loko Moscow,Dynamo Kyiv,Premier Liga,Premier Liga,3.70.,2006,
165,Jonathan Santana,24,VfL Wolfsburg,River Plate,1.Bundesliga,Torneo Inicial,3.60.,2006,
166,Leonardo Pisculichi,22,Al-Arabi,RCD Mallorca,Qatar,LaLiga,3.60.,2006,
167,Konstantinos Katsouranis,27,Benfica,AEK Athens,Liga NOS,Super League,3.50.,2006,
168,Jiri Jarosik,28,Celtic,Chelsea,Premiership,Premier League,3.50.,2006,
169,Ronald Zubar,20,Marseille,SM Caen,Ligue 1,Ligue 2,3.50.,2006,
170,Roberto Guana,25,US Palermo,Brescia,Serie A,Serie B,3.50.,2006,
171,Jeremy Menez,19,Monaco,FC Sochaux,Ligue 1,Ligue 1,3.50.,2006,
172,Ricardo Osorio,26,VfB Stuttgart,CD Cruz Azul,1.Bundesliga,Liga MX Clausura,3.50.,2006,
173,Cribari,26,Lazio,Udinese Calcio,Serie A,Serie A,3.50.,2006,
174,Stefano Mauri,26,Lazio,Udinese Calcio,Serie A,Serie A,3.50.,2006,
175,Francisco Fonseca,26,Benfica,CD Cruz Azul,Liga NOS,Liga MX Clausura,3.50.,2006,
176,Diego Rivas,26,Real Sociedad,Getafe CF,LaLiga,LaLiga,3.50.,2006,
177,Gijs Luirink,22,AZ Alkmaar,FC Groningen,Eredivisie,Eredivisie,3.50.,2006,
178,Claude Davis,27,Sheffield Utd.,Preston NE,Premier League,Championship,3.50.,2006,
179,Nelson Rivas,23,River Plate,Deportivo Cali,Torneo Inicial,Colombia,3.50.,2006,
180,Daniel Montenegro,27,Independiente,Saturn,Torneo Inicial,Premier Liga,3.50.,2006,
181,Pablo Vitti,21,CA Banfield,CA Rosario,Torneo Inicial,Torneo Inicial,3.50.,2006,
182,Rob Hulse,26,Sheffield Utd.,Leeds,Premier League,Championship,3.45.,2006,
183,Christian Wilhelmsson,26,FC Nantes,RSC Anderlecht,Ligue 1,Jupiler Pro League,3.30.,2006,
184,Daniel Niculae,23,AJ Auxerre,Rapid Bucharest,Ligue 1,Liga 1,3.30.,2006,
185,Mirko Vucinic,22,AS Roma,Lecce,Serie A,Serie B,3.25.,2006,
186,Radhi Jaidi,30,Birmingham,Bolton,Championship,Premier League,3.25.,2006,
187,David Cotterill,18,Wigan,Bristol City,Premier League,League One,3.20.,2006,
188,Correa,25,Dynamo Kyiv,Palmeiras,Premier Liga,Serie A,3.20.,2006,
189,Johan Micoud,32,G. Bordeaux,Werder Bremen,Ligue 1,1.Bundesliga,3.00.,2006,
190,Steed Malbranque,26,Spurs,Fulham,Premier League,Premier League,3.00.,2006,
191,Marco Cassetti,29,AS Roma,Lecce,Serie A,Serie B,3.00.,2006,
192,Daniele Bonera,25,AC Milan,Parma,Serie A,Serie A,3.00.,2006,
193,Andreas Isaksson,24,Man City,Stade Rennais,Premier League,Ligue 1,3.00.,2006,
194,Jaap Stam,33,AFC Ajax,AC Milan,Eredivisie,Serie A,3.00.,2006,
195,Juan Pablo Sorin,30,Hamburger SV,Villarreal CF,1.Bundesliga,LaLiga,3.00.,2006,
196,Jan Kromkamp,25,PSV Eindhoven,Liverpool,Eredivisie,Premier League,3.00.,2006,
197,Robert Green,26,West Ham,Norwich,Premier League,Championship,3.00.,2006,
198,Luis Jimenez,22,Ternana,Fiorentina,Serie C - B,Serie A,3.00.,2006,
199,Markus Rosenberg,24,Werder Bremen,AFC Ajax,1.Bundesliga,Eredivisie,3.00.,2006,
200,Bernardo Corradi,30,Man City,Valencia CF,Premier League,LaLiga,3.00.,2006,
201,Lucas Biglia,20,RSC Anderlecht,Independiente,Jupiler Pro League,Torneo Inicial,3.00.,2006,
202,Luciano Figueroa,25,Genoa,River Plate,Serie B,Torneo Inicial,3.00.,2006,
203,Thomas Gravesen,30,Celtic,Real Madrid,Premiership,LaLiga,3.00.,2006,
204,Erjon Bogdani,29,Chievo Verona,Siena,Serie A,Serie A,3.00.,2006,
205,Amara Diane,23,Paris SG,R. Strasbourg,Ligue 1,Ligue 2,3.00.,2006,
206,Yohan Hautcoeur,24,Saint-Etienne,Le Mans,Ligue 1,Ligue 1,3.00.,2006,
207,Ivan Pelizzoli,26,Loko Moscow,Reggina,Premier Liga,Serie A,3.00.,2006,
208,Leandro Gracian,23,Monterrey,CA Velez,Liga MX Clausura,Torneo Inicial,3.00.,2006,
209,Carlton Cole,22,West Ham,Chelsea,Premier League,Premier League,3.00.,2006,
210,Jose Manuel Jurado,20,Atletico Madrid,Real Madrid,LaLiga,LaLiga,3.00.,2006,
211,Amdy Faye,29,Charlton,Newcastle,Premier League,Premier League,3.00.,2006,
212,Andre Ooijer,32,Blackburn,PSV Eindhoven,Premier League,Eredivisie,3.00.,2006,
213,Abdoulaye Faye,28,Bolton,Lens,Premier League,Ligue 1,3.00.,2006,
214,Arthur Boka,23,VfB Stuttgart,R. Strasbourg,1.Bundesliga,Ligue 2,3.00.,2006,
215,Nenad Kovacevic,25,Lens,Red Star,Ligue 1,SuperLiga,3.00.,2006,
216,Pascal Cygan,32,Villarreal CF,Arsenal,LaLiga,Premier League,3.00.,2006,
217,Pablo Barrientos,21,FK Moskau,San Lorenzo,Premier Liga,Torneo Inicial,3.00.,2006,
218,Clint Dempsey,23,Fulham,Revolution,Premier League,MLS,3.00.,2006,
219,Ailton,22,FC Copenhagen,Orgryte,Superligaen,Superettan,3.00.,2006,
220,Michel Bastos,22,LOSC Lille,Atletico-PR,Ligue 1,Serie A,3.00.,2006,
221,Christian Maggio,24,Sampdoria,Fiorentina,Serie A,Serie A,3.00.,2006,
222,Gonzalo Vargas,24,Monaco,Gimnasia,Ligue 1,Torneo Inicial,3.00.,2006,
223,Kevin Thomson,22,Rangers,Hibernian FC,Premiership,Premiership,3.00.,2006,
224,George Ogararu,26,AFC Ajax,FCS Bucharest,Eredivisie,Liga 1,3.00.,2006,
225,Anthony Stokes,18,Sunderland,Arsenal U23,Championship,England,3.00.,2006,
226,Alexis Sanchez,18,Udinese Calcio,Cobreloa,Serie A,Chile,3.00.,2006,
227,Bolivar,25,Monaco,Internacional,Ligue 1,Serie A,3.00.,2006,
228,Kaue,22,Konyaspor,Ituano,Super Lig,Brazil,3.00.,2006,
229,Juan Pablo Pino,19,Monaco,Indep. Medellin,Ligue 1,Colombia,3.00.,2006,
230,Ryan Donk,20,AZ Alkmaar,RKC Waalwijk,Eredivisie,Eredivisie,3.00.,2006,
231,Luiz Adriano,19,Shakhtar D.,Internacional,Premier Liga,Serie A,3.00.,2006,
232,Tinga,28,Bor. Dortmund,Internacional,1.Bundesliga,Serie A,2.90.,2006,
233,Mohamed Zidan,25,1.FSV Mainz 05,Werder Bremen,1.Bundesliga,1.Bundesliga,2.80.,2006,
234,Djimi Traore,26,Charlton,Liverpool,Premier League,Premier League,2.80.,2006,
235,Karim Haggui,22,Bay. Leverkusen,R. Strasbourg,1.Bundesliga,Ligue 2,2.78.,2006,
236,Marcelinho Paraiba,31,VfL Wolfsburg,Trabzonspor,1.Bundesliga,Super Lig,2.75.,2006,
237,Aleksandar Lukovic,23,Udinese Calcio,Red Star,Serie A,SuperLiga,2.70.,2006,
238,Gabriel Paletta,20,Liverpool,CA Banfield,Premier League,Torneo Inicial,2.70.,2006,
239,Luton Shelton,21,Sheffield Utd.,Helsingborg,Premier League,Allsvenskan,2.70.,2006,
240,Yuki Abe,25,Urawa Reds,JEF Utd. Chiba,J1 League,J1 League,2.70.,2006,
241,Matias Vuoso,25,Santos,America,Liga MX Clausura,Liga MX Clausura,2.65.,2006,
242,Marko Pantelic,27,Hertha BSC,Red Star,1.Bundesliga,SuperLiga,2.60.,2006,
243,Razvan Cocis,23,Loko Moscow,Sheriff,Premier Liga,Moldova,2.60.,2006,
244,Marcelinho Paraiba,31,Trabzonspor,Hertha BSC,Super Lig,1.Bundesliga,2.50.,2006,
245,Modeste M'Bami,23,Marseille,Paris SG,Ligue 1,Ligue 1,2.50.,2006,
246,Kevin Kilbane,29,Wigan,Everton,Premier League,Premier League,2.50.,2006,
247,Angelos Charisteas,26,Feyenoord,AFC Ajax,Eredivisie,Eredivisie,2.50.,2006,
248,Luigi Pieroni,26,FC Nantes,AJ Auxerre,Ligue 1,Ligue 1,2.50.,2006,
249,Kenneth Perez,31,AFC Ajax,AZ Alkmaar,Eredivisie,Eredivisie,2.50.,2006,
250,Kleber,26,Santos FC,FC Basel,Serie A,Super League,2.50.,2006,
1,Fernando Torres,23,Liverpool,Atletico Madrid,Premier League,LaLiga,38.00.,2007,
2,Arjen Robben,23,Real Madrid,Chelsea,LaLiga,Premier League,36.00.,2007,
3,Anderson,19,Man Utd,FC Porto,Premier League,Liga NOS,31.50.,2007,
4,Pepe,24,Real Madrid,FC Porto,LaLiga,Liga NOS,30.00.,2007,
5,Wesley Sneijder,23,Real Madrid,AFC Ajax,LaLiga,Eredivisie,27.00.,2007,
6,Nani,20,Man Utd,Sporting CP,Premier League,Liga NOS,25.50.,2007,
7,Owen Hargreaves,26,Man Utd,Bayern Munich,Premier League,1.Bundesliga,25.00.,2007,
8,Franck Ribery,24,Bayern Munich,Marseille,1.Bundesliga,Ligue 1,25.00.,2007,
9,Darren Bent,23,Spurs,Charlton,Premier League,Championship,24.75.,2007,
10,Thierry Henry,29,FC Barcelona,Arsenal,LaLiga,Premier League,24.00.,2007,
11,Alexandre Pato,17,AC Milan,Internacional,Serie A,Serie A,22.00.,2007,
12,Diego Forlan,28,Atletico Madrid,Villarreal CF,LaLiga,LaLiga,21.00.,2007,
13,Simao Sabrosa,27,Atletico Madrid,Benfica,LaLiga,Liga NOS,20.00.,2007,
14,Gabriel Milito,26,FC Barcelona,Real Zaragoza,LaLiga,LaLiga,20.00.,2007,
15,Mirko Vucinic,23,AS Roma,Lecce,Serie A,Serie B,19.50.,2007,
16,Florent Malouda,27,Chelsea,Olympique Lyon,Premier League,Ligue 1,19.00.,2007,
17,Nicolas Anelka,28,Chelsea,Bolton,Premier League,Premier League,18.00.,2007,
18,Ever Banega,19,Valencia CF,Boca Juniors,LaLiga,Torneo Final,18.00.,2007,
19,Manuel Fernandes,21,Valencia CF,Benfica,LaLiga,Liga NOS,18.00.,2007,
20,Ryan Babel,20,Liverpool,AFC Ajax,Premier League,Eredivisie,17.25.,2007,
21,Afonso Alves,26,Middlesbrough,Heerenveen,Premier League,Eredivisie,17.00.,2007,
22,Abdul Kader Keita,25,Olympique Lyon,LOSC Lille,Ligue 1,Ligue 1,16.80.,2007,
23,Yakubu Aiyegbeni,24,Everton,Middlesbrough,Premier League,Premier League,16.50.,2007,
24,Miroslav Klose,29,Bayern Munich,Werder Bremen,1.Bundesliga,1.Bundesliga,15.00.,2007,
25,Cristian Chivu,26,Inter,AS Roma,Serie A,Serie A,15.00.,2007,
26,Tiago,26,Juventus,Olympique Lyon,Serie A,Ligue 1,15.00.,2007,
27,Eric Abidal,27,FC Barcelona,Olympique Lyon,LaLiga,Ligue 1,15.00.,2007,
28,Mauro Zarate,20,Al-Sadd,CA Velez,Qatar,Torneo Final,15.00.,2007,
29,Nery Castillo,23,Shakhtar D.,Olympiacos,Premier Liga,Super League,15.00.,2007,
30,Gareth Bale,17,Spurs,Southampton,Premier League,Championship,14.70.,2007,
31,Matuzalem,27,Real Zaragoza,Shakhtar D.,LaLiga,Premier Liga,14.50.,2007,
32,Royston Drenthe,20,Real Madrid,Feyenoord,LaLiga,Eredivisie,14.00.,2007,
33,Willian,19,Shakhtar D.,Corinthians,Premier Liga,Serie A,14.00.,2007,
34,Nikola Zigic,26,Valencia CF,Racing,LaLiga,LaLiga,14.00.,2007,
35,Marcell Jansen,21,Bayern Munich,Bor. M'gladbach,1.Bundesliga,2.Bundesliga,14.00.,2007,
36,Eduardo,24,Arsenal,Dinamo Zagreb,Premier League,1.HNL,13.50.,2007,
37,David Suazo,27,Inter,Cagliari Calcio,Serie A,Serie A,13.00.,2007,
38,Raul Garcia,20,Atletico Madrid,CA Osasuna,LaLiga,LaLiga,13.00.,2007,
39,Rolando Bianchi,24,Man City,Reggina,Premier League,Serie A,13.00.,2007,
40,Alan Hutton,23,Spurs,Rangers,Premier League,Premiership,13.00.,2007,
41,Vedran Corluka,21,Man City,Dinamo Zagreb,Premier League,1.HNL,13.00.,2007,
42,Carlos Tevez,23,Man Utd,West Ham,Premier League,Premier League,12.70.,2007,
43,Nigel Reo-Coker,23,Aston Villa,West Ham,Premier League,Premier League,12.50.,2007,
44,Jose Antonio Reyes,23,Atletico Madrid,Arsenal,LaLiga,Premier League,12.00.,2007,
45,Juan Riquelme,29,Boca Juniors,Villarreal CF,Torneo Final,LaLiga,12.00.,2007,
46,Gabriel Heinze,29,Real Madrid,Man Utd,LaLiga,Premier League,12.00.,2007,
47,Breno,18,Bayern Munich,Sao Paulo,1.Bundesliga,Serie A,12.00.,2007,
48,Branislav Ivanovic,23,Chelsea,Loko Moscow,Premier League,Premier Liga,12.00.,2007,
49,Kieron Dyer,28,West Ham,Newcastle,Premier League,Premier League,12.00.,2007,
50,Arouna Kone,23,Sevilla FC,PSV Eindhoven,LaLiga,Eredivisie,12.00.,2007,
51,Elano,26,Man City,Shakhtar D.,Premier League,Premier Liga,12.00.,2007,
52,Younes Kaboul,21,Spurs,AJ Auxerre,Premier League,Ligue 1,12.00.,2007,
53,Javier Arizmendi,23,Valencia CF,Dep. La Coruna,LaLiga,LaLiga,12.00.,2007,
54,Oscar Cardozo,24,Benfica,Newell's,Liga NOS,Torneo Final,11.67.,2007,
55,Vincenzo Iaquinta,27,Juventus,Udinese Calcio,Serie A,Serie A,11.30.,2007,
56,Craig Bellamy,28,West Ham,Liverpool,Premier League,Premier League,11.25.,2007,
57,Luca Toni,30,Bayern Munich,Fiorentina,1.Bundesliga,Serie A,11.00.,2007,
58,Mohamed Sissoko,23,Juventus,Liverpool,Serie A,Premier League,11.00.,2007,
59,Craig Gordon,24,Sunderland,Heart of Midl.,Premier League,Premiership,10.82.,2007,
60,Jonathan Woodgate,28,Spurs,Middlesbrough,Premier League,Premier League,10.80.,2007,
61,Jorge Andrade,29,Juventus,Dep. La Coruna,Serie A,LaLiga,10.00.,2007,
62,Martin Skrtel,23,Liverpool,Zenit S-Pb,Premier League,Premier Liga,10.00.,2007,
63,Sulley Muntari,22,Portsmouth FC,Udinese Calcio,Premier League,Serie A,10.00.,2007,
64,Giuseppe Rossi,20,Villarreal CF,Man Utd,LaLiga,Premier League,10.00.,2007,
65,Peter Odemwingie,26,Loko Moscow,LOSC Lille,Premier Liga,Ligue 1,10.00.,2007,
66,Lucas Leiva,20,Liverpool,Gremio,Premier League,Serie A,10.00.,2007,
67,John Utaka,25,Portsmouth FC,Stade Rennais,Premier League,Ligue 1,10.00.,2007,
68,Ilson Jr.,21,Shakhtar D.,Sao Paulo,Premier Liga,Serie A,10.00.,2007,
69,Scott Parker,26,West Ham,Newcastle,Premier League,Premier League,9.70.,2007,
70,Jonathan Woodgate,27,Middlesbrough,Real Madrid,Premier League,LaLiga,9.60.,2007,
71,Jermain Defoe,25,Portsmouth FC,Spurs,Premier League,Premier League,9.30.,2007,
72,Julien Faubert,24,West Ham,G. Bordeaux,Premier League,Ligue 1,9.15.,2007,
73,Cicinho,27,AS Roma,Real Madrid,Serie A,LaLiga,9.00.,2007,
74,Djibril Cisse,25,Marseille,Liverpool,Ligue 1,Premier League,9.00.,2007,
75,Sergio Almiron,26,Juventus,FC Empoli,Serie A,Serie A,9.00.,2007,
76,Yaya Toure,24,FC Barcelona,Monaco,LaLiga,Ligue 1,9.00.,2007,
77,Jose Sosa,22,Bayern Munich,Estudiantes,1.Bundesliga,Torneo Final,9.00.,2007,
78,Bacary Sagna,24,Arsenal,AJ Auxerre,Premier League,Ligue 1,9.00.,2007,
79,Alan Smith,26,Newcastle,Man Utd,Premier League,Premier League,9.00.,2007,
80,Diomansy Kamara,26,Fulham,West Brom,Premier League,Championship,9.00.,2007,
81,David Nugent,22,Portsmouth FC,Preston NE,Premier League,Championship,9.00.,2007,
